Name,Address,Description
Glas Restaurant,"15/16 Chatham Street, Dublin, Ireland","Plant-based fine dining"
Cornucopia,"19/20 Wicklow Street, Dublin, Ireland","100% vegetarian/vegan"
Brother Hubbard,"Capel Street, Dublin, Ireland","Middle Eastern-inspired"
The Winding Stair,"40 Lower Ormond Quay, Dublin, Ireland","Irish seasonal, river views"
Keogh's Cafe,"1-2 Trinity Street, Dublin, Ireland","Breakfast, opens 6:30 AM"
Palace Bar,"21 Fleet Street, Dublin, Ireland","100+ Irish whiskeys, traditional pub"
Ard Bia at Nimmo's,"Spanish Arch, Galway, Ireland","Seasonal, great vegetarian options"
Kai Restaurant,"Sea Road, Galway, Ireland","Vegetable-forward, small seasonal menu"
Dela,"51 Dominick Street Lower, Galway, Ireland","Counter-service, lighter meals"
Bierhaus,"Henry Street, Galway, Ireland","Fully vegetarian gastropub"
Solas Tapas & Wine,"Green Street, Dingle, Co. Kerry, Ireland","Small plates, veg/vegan menu"
Gus O'Connor's Pub,"Fisher Street, Doolin, Co. Clare, Ireland","Famous trad music pub"
McGann's Pub,"Doolin, Co. Clare, Ireland","Trad music, afternoon sessions"
McDermott's,"Doolin, Co. Clare, Ireland","Trad music pub"
No. 35 Kenmare,"35 Main Street, Kenmare, Co. Kerry, Ireland","Modern Irish, vegetarian options"
Tom Crean Restaurant,"25 Main Street, Kenmare, Co. Kerry, Ireland","Multi-diet options"
The Lime Tree,"Shelbourne Street, Kenmare, Co. Kerry, Ireland","Warm atmosphere, vegetarian"
Cafe Paradiso,"16 Lancaster Quay, Cork, Ireland","Ireland's best vegetarian restaurant"
Fishy Fishy,"Crowley's Quay, Kinsale, Co. Cork, Ireland","Seafood institution"
The Lemon Leaf Cafe,"Main Street, Kinsale, Co. Cork, Ireland","Vegetarian options"
The Black Pig,"Lower O'Connell Street, Kinsale, Co. Cork, Ireland","Sharing plates & wine"
Bastion,"Market Street, Kinsale, Co. Cork, Ireland","Michelin star"
