Name,Address,Description
The House Hotel,"Spanish Parade, Latin Quarter, Galway, Ireland","4-star boutique, ~€179 (~$195)/couple w/ breakfast"
The Snug Townhouse,"Eyre Square, Galway, Ireland","3-star, €132 (~$144)/night"
Radisson RED Galway,"Lough Atalia Road, Galway, Ireland","Modern 4-star, €135 (~$147)/night, free parking"
Corrib House Guest Accommodation,"Waterside, Woodquay, Galway, Ireland","Georgian townhouse on Salmon Weir, ~€210 (~$229)/night, 4 rooms"
Ardawn House,"College Road, Galway, Ireland","4-star B&B, ~€130-150 (~$142-164)/night"
Pax House,"Upper John Street, Dingle, Co. Kerry, Ireland","#1 in Dingle, €120-160 (~$131-174)/night, exceptional breakfast"
Heaton's Guesthouse,"The Wood, Dingle, Co. Kerry, Ireland","4-star, €92-132 (~$100-144)/night, waterfront"
Castlewood House,"The Wood, Dingle, Co. Kerry, Ireland","Boutique B&B, €185 (~$202)/night, 10/10 rating"
Dingle Benners Hotel,"Main Street, Dingle, Co. Kerry, Ireland","Classic hotel, central, €169 (~$184)/night"
Cill Bhreac House,"Dingle, Co. Kerry, Ireland","5/5 TripAdvisor, €150-200 (~$164-218)/night, bay views"
Greenmount House,"Gortonora, Dingle, Co. Kerry, Ireland","Panoramic bay views, €155-200 (~$169-218)/night"
Milltown House,"Milltown, Dingle, Co. Kerry, Ireland","Budget-friendly, €110 (~$120)/night, bay views"
Cappabhaile House,"Ballyvaughan, Co. Clare, Ireland","9.4 Booking.com, €100-145 (~$109-158)/night, Burren views"
Daly's House,"Doolin, Co. Clare, Ireland","TripAdvisor Travelers' Choice, ~€170 (~$185)/night, 6 rooms"
Sheedy's Doolin,"Doolin, Co. Clare, Ireland","#1 B&B Ireland (TripAdvisor), €165-220 (~$180-240)/night"
Blooms Hotel,"Temple Bar, Dublin, Ireland","€140-170 (~$153-185)/night"
